_id,E_virial,Error_bar,db,collection,creator,description,date,uuid,params.steps,params.equilibration_steps,params.skip_steps,params.gamma0,params.dt,params.temperature,params.P,params.pdb_file,params.forcefield_file,params.platform_name,params.beta,params.tau,unique_fields[0],unique_fields[1]
65e55a343de30d2bd2377b40,8.779035511906413,0.059557203427636395,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,af623979-4ba6-409b-b459-f53d7a3ae455,15000,200,1,5.88235294117647 /ps,0.12 fs,20,105,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.05727470351033794,E_virial,uuid
65e55ab03de30d2bd2377b42,9.048157191113445,0.05575122456929067,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,e938bf53-7a30-4f73-b189-51814b4b6e89,15000,200,1,5.88235294117647 /ps,0.12 fs,20,116,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.05184348162573693,E_virial,uuid
65e55b3b3de30d2bd2377b44,9.607001616211933,0.05314706777518529,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,d0c85b99-3f3f-4135-b694-40af221361b6,15000,200,1,5.88235294117647 /ps,0.12 fs,20,130,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.04626033745065757,E_virial,uuid
65e55bef3de30d2bd2377b46,10.224020317005529,0.052667115811124744,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,e0ff497d-d87f-4a30-8140-beccbd534d51,15000,200,1,5.88235294117647 /ps,0.12 fs,20,149,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.04036136824554016,E_virial,uuid
65e55cbf3de30d2bd2377b48,10.792382569192661,0.05583785650560593,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,f94f15a6-c2cb-4c31-8a8d-7a73786467e2,15000,200,1,5.88235294117647 /ps,0.12 fs,20,173,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.03476210328662129,E_virial,uuid
65e55d943de30d2bd2377b4a,11.263505757707517,0.05203162763793453,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,95065e4a-1ade-460e-aa5b-9b82dbca1bc6,15000,200,1,5.88235294117647 /ps,0.12 fs,20,208,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.02891271090666098,E_virial,uuid
65e55eb33de30d2bd2377b4c,11.934213256937504,0.05547378966200289,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,a75800c6-f4ab-45c4-a20f-a8288893b220,15000,200,1,5.88235294117647 /ps,0.12 fs,20,262,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.022953602551852994,E_virial,uuid
65e560883de30d2bd2377b4e,12.448793766323432,0.05446190683799963,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,22a73760-4e35-4abc-9e8a-10683abbc763,15000,200,1,5.88235294117647 /ps,0.12 fs,20,353,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.01703638489684273,E_virial,uuid
65e562c13de30d2bd2377b50,12.949876926324167,0.04843275134211391,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,76d04a9b-2553-4171-a1db-68ebc130d9fe,15000,200,1,5.88235294117647 /ps,0.12 fs,20,545,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.011034575905661438,E_virial,uuid
65e5678d3de30d2bd2377b52,13.167657642487871,0.05361366593760338,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,ca79081b-d87a-471a-aaed-fafa78f0c3ee,15000,200,1,5.88235294117647 /ps,0.12 fs,20,1207,qtip4p.pdb,qtip4pf.xml,Reference,6.013843868585484,0.004982472136359142,E_virial,uuid
65e567fb3de30d2bd2377b54,10.474340499361208,0.06238369782013694,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,82abbf29-e912-4b2b-b116-808cb207a2ce,15000,200,1,5.88235294117647 /ps,0.12 fs,30,105,qtip4p.pdb,qtip4pf.xml,Reference,4.009229245723656,0.038183135673558626,E_virial,uuid
65e568743de30d2bd2377b56,10.80889653218886,0.05708508682934456,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,5244cd5c-f9e9-43bc-93ca-251e6f2c6702,15000,200,1,5.88235294117647 /ps,0.12 fs,30,115,qtip4p.pdb,qtip4pf.xml,Reference,4.009229245723656,0.03486286300629266,E_virial,uuid
65e568fc3de30d2bd2377b58,11.14968339618262,0.06837689649646568,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,255504ee-391e-4e15-8e6b-28f27c23c99d,15000,200,1,5.88235294117647 /ps,0.12 fs,30,129,qtip4p.pdb,qtip4pf.xml,Reference,4.009229245723656,0.031079296478477954,E_virial,uuid
65e569983de30d2bd2377b5a,11.56251576355089,0.0682456811768299,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,402b8f97-379b-4deb-a4cd-5e308809fa9c,15000,200,1,5.88235294117647 /ps,0.12 fs,30,146,qtip4p.pdb,qtip4pf.xml,Reference,4.009229245723656,0.027460474285778465,E_virial,uuid
65e56a453de30d2bd2377b5c,11.846722238511065,0.05760670286101792,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,61cfe280-4573-4158-a0b8-c63e8bcfe67a,15000,200,1,5.88235294117647 /ps,0.12 fs,30,168,qtip4p.pdb,qtip4pf.xml,Reference,4.009229245723656,0.023864459795974142,E_virial,uuid
65e56b393de30d2bd2377b5e,12.166010217463258,0.06693650324060835,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,67fb6da7-4b28-4480-a789-356c34cd94ba,15000,200,1,5.88235294117647 /ps,0.12 fs,30,199,qtip4p.pdb,qtip4pf.xml,Reference,4.009229245723656,0.020146880631777164,E_virial,uuid
65e56c333de30d2bd2377b60,12.35782384520896,0.06873344503192322,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-03-04,e8791c62-93c8-4ce7-b250-e5feafd6fec1,15000,200,1,5.88235294117647 /ps,0.12 fs,30,245,qtip4p.pdb,qtip4pf.xml,Reference,4.009229245723656,0.016364201002953698,E_virial,uuid
