_id,E_virial,Error_bar,db,collection,creator,description,date,uuid,params.steps,params.equilibration_steps,params.skip_steps,params.gamma0,params.dt,params.temperature,params.P,params.pdb_file,params.forcefield_file,params.platform_name,params.beta,params.tau,unique_fields[0],unique_fields[1]
66175ec26dc549ecf2c11fd4,15.62338769804658,0.1417637907574775,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-10,a37868d2-91f1-4a78-8db4-4449e18905ed,34608,1000,1,5.88235294117647 /ps,0.12 fs,20,105,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.05727470351033794,E_virial,uuid
6617609b6dc549ecf2c11fd6,11.956674334898368,0.10852535473091869,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,2996711d-721f-47c5-9190-846907ccac9d,45024,1000,1,5.88235294117647 /ps,0.12 fs,20,116,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.05184348162573693,E_virial,uuid
661766624a8470bde312b394,12.808412067095942,0.1131379621674758,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,32711dcf-b1bf-4706-98c4-a84d984ad26b,48120,1000,1,5.88235294117647 /ps,0.12 fs,20,105,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.05727470351033794,E_virial,uuid
66176a084a8470bde312b396,9.171489385412107,0.08225219235779879,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,22496803-9ffc-48e0-a11f-8180abb7c86e,93708,1000,1,5.88235294117647 /ps,0.12 fs,20,116,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.05184348162573693,E_virial,uuid
66176bc34a8470bde312b398,13.374875256045314,0.1227572089460149,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,39d8f8d2-736d-438e-b2e1-1b4f5f67e49d,40056,1000,1,5.88235294117647 /ps,0.12 fs,20,130,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.04626033745065757,E_virial,uuid
66176eaf4a8470bde312b39a,14.367193799638967,0.1185802984768992,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,d40b890b-5d4a-46af-8f95-b8a1977755e8,48924,1000,1,5.88235294117647 /ps,0.12 fs,20,149,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.04036136824554016,E_virial,uuid
6617712f4a8470bde312b39c,13.085718650522193,0.12537776956677346,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,934aa2f1-7d62-4df9-8a84-be63d6a009d1,35244,1000,1,5.88235294117647 /ps,0.12 fs,20,173,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.03476210328662129,E_virial,uuid
6617738c4a8470bde312b39e,12.306712335033017,0.12240954612264077,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,d01bda03-c63e-45ce-9080-1d6a7645b8a8,34428,1000,1,5.88235294117647 /ps,0.12 fs,20,208,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.02891271090666098,E_virial,uuid
661774fe4a8470bde312b3a0,19.556059686302383,0.18374091886592905,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,6c429942-e042-4161-812b-3e8d6b7e927d,15000,1000,1,5.88235294117647 /ps,0.12 fs,20,262,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.022953602551852994,E_virial,uuid
661778dc4a8470bde312b3a2,16.951287580066356,0.16881525219567728,NE459_Final_Fixed,E_virial,Jackie Zou,WaterPIMD Simulation average E_virial at specific tau,2024-04-11,78212f15-5889-4432-9e97-d455dcec00c9,22188,1000,1,5.88235294117647 /ps,0.12 fs,20,353,dimer 2.pdb,qtip4pf.xml,Reference,6.013843868585484,0.01703638489684273,E_virial,uuid
